CustomerId,FirstName,LastName,FullName,DateOfBirth,Gender,EMail,EmailSubscriber60352436,Telephone,PostCode,StreetAddress,City,State,Country,CreatedOn,Headshot,LoyaltyTier2147257320,Income,Occupation,CustomerSatisfaction,pos_posCustomer_LoyaltyId,RewardPoints,CreditCard,ecommerce_eCommerceContacts_ContactId,ecommerce_eCommerceContacts_ContactId_Alternate,PoS_PoSContacts_LoyaltyId,pos_posCustomer_LoyaltyId_Alternate
0000345b621b6ee3dbded70b930c1d82,Sandra,Cattanach,Sandra Cahtanach,1984-10-24T00:00:00.000Z,Female,sandra_cattanach@powersperezandcobb.com,No,(594)673-4219,28006,13876 Davis Meadow,Stockton,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/SandraCattanach.png,medium,20000.0,Teacher,low,LOYID_5359,283,No,CNTID_5359,CNTID_5359,LOYID_5359,LOYID_5359
0020a2ea00e4c8fdb08efc19252ed8b8,Donald,Bayly,Donald Bayly,2000-09-23T00:00:00.000Z,Male,donald_bayly@hollandplc.com,No,433-500-6186x47999,39937,366 Randolph Rapids,Rancho Cucamonga,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DonaldBayly.png,medium,20000.0,Teacher,medium,LOYID_1814,90,No,CNTID_1814,CNTID_1814,LOYID_1814,LOYID_1814
002aea10b985ab4d31cb46760a805696,Mary,Washum,Mary Washum,1991-12-29T00:00:00.000Z,Female,mary_washum@hornrobinsonandclark.com,Yes,(983)973-5480x4007,29535,2202 Murphy Shoals Suite 712,Orlando,Florida,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/MaryWashum.png,high,57226.6045,Software Engineer,high,LOYID_4150,256,Yes,CNTID_4150,CNTID_4150,LOYID_4150,LOYID_4150
004fa2f464855be529ce53f67a2bd1e0,Ronald,Veroba,Veroba Ronald,2013-04-08T00:00:00.000Z,Male,ronald_veroba@ruiztuckerandmontgomery.com,Yes,580.924.6989x48211,37007,3842 Lance Villages,Port St. Lucie,Florida,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RonaldVeroba.png,low,227637.162,Investment Banking,low,LOYID_3165,42,Yes,CNTID_3165,CNTID_3165,LOYID_3165,LOYID_3165
008206fa96cb7327bc993d7ed13694e9,Patricia,Calabro,Calabro Patricia,1980-12-28T00:00:00.000Z,Female,patricia_calabro@masonandsons.com,Yes,001-374-168-5223,91260,621 Kathryn Prairie,Norman,Oklahoma,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/PatriciaCalabro.png,medium,40060.6529,Software Engineer,medium,LOYID_5598,45,No,CNTID_5598,CNTID_5598,LOYID_5598,LOYID_5598
00d4f0174538bc150a96d78fdff7723a,Brian,Binkerd,Bsian Binkerd,2016-12-18T00:00:00.000Z,Male,brian_binkerd@copelandwhite.com,No,811-292-4785x7928,52143,52376 Gibson Knolls Suite 538,Salinas,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/BrianBinkerd.png,medium,39223.7943,Teacher,medium,LOYID_2110,130,No,CNTID_2110,CNTID_2110,LOYID_2110,LOYID_2110
0110d3293bbc80faf6f292ab753c1856,Ronald,Diani,Diani Ronald,1993-05-12T00:00:00.000Z,Male,ronald_diani@smithacosta.com,No,001-270-801-6101x047,75699,9670 Gary Field,Hialeah,Florida,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RonaldDiani.png,medium,125267.2583,Software Engineer,medium,LOYID_2500,75,Yes,CNTID_2500,CNTID_2500,LOYID_2500,LOYID_2500
019da670786dfa6cf754ac04d2d4bc1b,Ruth,Unterkofler,Unterkofler Ruth,2013-11-20T00:00:00.000Z,Female,ruth_unterkofler@austingroup.com,Yes,080-861-8701x068,63959,01056 Jessica Mill,Las Vegas,Nevada,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RuthUnterkofler.png,medium,86857.5109,Software Engineer,medium,LOYID_4939,258,Yes,CNTID_4939,CNTID_4939,LOYID_4939,LOYID_4939
01d993e788a33d2f8f67453dff108ccf,Brian,Getman,Brian Getxan,1999-02-09T00:00:00.000Z,Male,brian_getman@martinezwellsandhenry.com,No,705-564-6636x3629,42147,665 Brendan Fort Apt. 794,Port St. Lucie,Florida,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/BrianGetman.png,medium,112906.8863,Software Engineer,high,LOYID_2683,141,Yes,CNTID_2683,CNTID_2683,LOYID_2683,LOYID_2683
02146e974872dde2170a01fc0a2a9ec8,Donna,Scucchi,Donna Scucchi,2015-11-23T00:00:00.000Z,Female,donna_scucchi@nelsonjohns.com,No,173-388-7658,64726,700 Wayne Drive Apt. 958,Jersey City,New Jersey,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DonnaScucchi.png,medium,107009.3406,Teacher,high,LOYID_5493,234,No,CNTID_5493,CNTID_5493,LOYID_5493,LOYID_5493
02471f655e923ff3f2627e366bc3e3bc,Brian,Heppe,Heppe Brian,2016-01-09T00:00:00.000Z,Male,brian_heppe@stantongroup.com,Yes,(280)877-9938x92974,13446,326 Kimberly Plains,Newport News,Virginia,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/BrianHeppe.png,medium,230627.1157,Software Engineer,medium,LOYID_2569,172,No,CNTID_2569,CNTID_2569,LOYID_2569,LOYID_2569
02ae4890c41a88fa9b636f5d54c1fa86,Margaret,Gluszek,Gluszek Margaret,1989-11-07T00:00:00.000Z,Female,margaret_gluszek@simsreed.com,No,922.187.5238x2010,91746,80784 Santos Tunnel,Springfield,Illinois,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/MargaretGluszek.png,medium,128191.994,Software Engineer,medium,LOYID_4806,66,Yes,CNTID_4806,CNTID_4806,LOYID_4806,LOYID_4806
